address,subject_city_province_zip,effective_date,municipality_district,site_dimensions,lot_size_sf,units_sq_ft,year_built,structure_type,roofing,effective_age,style,construction,remaining_economic_life,windows,basement,exterior_finish,basement_area,foundation_walls,flooring,plumbing_lines,heating,fuel_type,water_heater,cooling,room_count,num_beds,room_total,main_lvl_area,second_lvl_area,third_lvl_area,gla,subject_age,num_baths,condition,orderID,effective_date_clean,lot_size_clean,gla_clean,room_count_clean,bedrooms_clean,bathrooms_clean,property_type_clean,stories_clean
54 Kingston Cres Dartmouth NS B3A2M2,Dartmouth NS B3A2M2,Apr/14/2025,Dartmouth,See Schedule A and or Plot Map,6000 SqFt,SqFt,1976,Detached,Asphalt Shingle,10,4 Level Split,Wood,50,Vinyl,Full/Finished,"Brick, Siding",1021,Poured Concrete,Ceramic,"Copper, PEX, ABS",Hot Water Baseboard,Natural Gas,Integrated with boiler,Ductless mini split,7.0,3,7.0,1021,616.0,,1637 SqFt,49+/-yrs,1:1,Average,4759846,2025-04-14,6000.0,1637.0,7.0,3.0,1.5,Detached,Split Level
2 Forsey St Ottawa ON K1N7X7,Ottawa ON K1N7X7,Apr/16/2025,"Lower Town, City of Ottawa",13.18 F x Irregular,911 SqFt,SqFt,1990 +/-,Townhouse,Tar & Gravel,20,3 Plus Stories,Wood,60,Vinyl,Full/Part Finished,Stucco,600 +/-,Poured concrete,Hardwood,"Copper, PEX, ABS",Forced Air,Natural Gas,Electric,Central Air,8.0,3,9.0,,,,1822 SqFt,1990 +/-,2:1,Average,4764028,2025-04-16,911.0,1822.0,9.0,3.0,2.5,Townhouse,3+ Storey
1004 Connery Ave Ottawa ON K1G2P1,Ottawa ON K1G2P1,Apr/23/2025,"Elmvale Acres, City of Ottawa",41.39 F x Irregular,8398 SqFt,SqFt,1961,Detached,asphalt shingle,30,Bungalow,Wood,40,Vinyl,Full/Finished,"stone, siding",1109,Concrete Block,"carpet, laminate, vinyl","Copper, PEX, ABS",Forced Air,Natural Gas,Electric,,6.0,3,6.0,1109,,,1109 SqFt,1961,1:0,Average,4766326,2025-04-23,8398.0,1109.0,6.0,3.0,1.0,Detached,Bungalow
96 Forestside Cres Halifax NS B3M1M4,Halifax NS B3M1M4,Apr/23/2025,Halifax Regional Municipality - Clayton Park,Condo n/a,,SqFt,1970,Condominium,"Tar & Gravel, Membrane",15,2 Storey,Wood,55,Vinyl,Full/Part Finished,"Brick, Siding",693,Poured Concrete,Ceramic,"Copper, PEX, ABS",Heat Pump - Fully Ducted,Electric,Electric,Heat Pump,6.0,3,6.0,693,693.0,,1386 SqFt,1970,1:1,Average,4766430,2025-04-23,,1386.0,6.0,3.0,1.5,Condominium,2 Storey
1606-730 2 Ave SW Calgary AB T2P 1R8,Calgary AB T2P 1R8,Apr/21/2025,"Calgary, AB / Eau Claire",Common Property,,,2024,High Rise Apartment,Tar/Gravel,New,1 Storey,Concrete,65,Vinyl,No basement,Concrete / Metal,,Concrete,Vinyl,"Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,4.0,1,4.0,522,,,522 SqFt,2024,1F,Good,4767066,2025-04-21,,522.0,4.0,1.0,1.0,Condominium,1 Storey
45 Clonfadda Terr Nepean ON K2J 6E9,Nepean ON K2J 6E9,Apr/21/2025,"Half Moon Bay, City of Ottawa",41.31' x Irr,3253 SqFt,SqFt,2017,Detached,Asphalt/Fiberglass Shingle,5,2 Storey,Wood Frame,65,Vinyl,Full/Finished,"Brick veneer, vinyl siding",700 +/-,Poured Concrete,"hardwood, ceramic, carpet, vinyl plank","Copper, PEX, ABS",Forced Air,Natural Gas,Tankless/Instant,Central Air,6.0,3,6.0,,,,1607 SqFt,2017,3:1,Average,4768014,2025-04-21,3253.0,1607.0,6.0,3.0,3.5,Detached,2 Storey
31 YOUNG ST Welland ON L3B4C5,Welland ON L3B4C5,Apr/21/2025,"City of Welland, Regional Municipality of Niagara",47.5' x 135.83',6452 SqFt,SqFt,1910,Duplex,Asphalt shingles,30,2 Storey,Wood frame,40,Vinyl / Aluminum,Part/Unfinished,"Stucco, Wood siding",1261,Stone,"Laminate, Ceramic tile, Hardwood","Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,12.0,7,12.0,1494,1261.0,,2755 SqFt,1910,2:0,Average,4768037,2025-04-21,6452.0,2755.0,12.0,7.0,2.0,Duplex,2 Storey
60 Keystone Trail Welland ON L3B0N8,Welland ON L3B0N8,Apr/17/2025,"City of Welland, Regional Municipality of Niagara",n/a condo,SqFt,SqFt,2025,Townhouse,Asphalt shingles,0,2 Storey,Wood frame,70,Vinyl,Full/Unfinished,"Stucco, Brick, Stone",694,Poured concrete,Vinyl plank,"Copper, PEX, ABS",Forced Air,Natural Gas,Tankless/Instant,Central Air,8.0,4,8.0,694,940.0,,1634 SqFt,New,2:1,Good,4763606,2025-04-17,,1634.0,8.0,4.0,2.5,Townhouse,2 Storey
70 Joffre St Dartmouth NS B2Y3C9,Dartmouth NS B2Y3C9,Apr/23/2025,Halifax Regional Municipality - Dartmouth,See Schedule A and or Plot Map,7541 SqFt,SqFt,1940,Detached,Asphalt Shingle,15,1.5 Storey,Wood,45,"Vinyl, Wood, Aluminum Clad Wood",Full/Unfinished,Vinyl/Aluminum,735,Concrete,Hardwood,"Copper, PEX, ABS",Forced Air,Oil,Oil Fired Hot Water Heater,Ductless mini split,6.0,2,6.0,845,325.0,,1170 SqFt,85,1:1,Average,4763898,2025-04-23,7541.0,1170.0,6.0,2.0,1.5,Detached,1.5 Storey
844 Cataraqui Woods Dr Kingston ON K7P2P7,Kingston ON K7P2P7,Apr/22/2025,Kingston,101.7' x 68.9',"7,007 SqFt",SqFt,1989,Detached,Asphalt Shingle,15,Split Level,Wood,60,Vinyl,Part / Finished,"Brick veneer, vinyl siding",536,Concrete,"Hardwood, ceramic, laminate","Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,7.0,3+1,7.0,1188,652.0,,"1,840 SqFt",36,2:1,Average,4765154,2025-04-22,7007.0,1840.0,7.0,4.0,2.5,Detached,Split Level
6997 Creek Line Pain Court ON N0P1Z0,Pain Court ON N0P1Z0,Apr/22/2025,Chatham-Kent (Dover Township),75 x irregular,10570 SqFt,SqFt,1885,Detached,Asphalt/Fiberglass Shingle,30,1.5 Storey,Wood,70,PVC,Driveway,Vinyl/Aluminum,,Concrete,Laminate,PVC and Pex (Not kitec),Forced Air,Natural Gas,Natural Gas,Central Air,7.0,4,8.0,1102,743.0,,1845 SqFt,140,1:1,Average,4765502,2025-04-22,10570.0,1845.0,8.0,4.0,1.5,Detached,1.5 Storey
1753 Reginald Bart Dr Kingston ON K7K0E9,Kingston ON K7K0E9,Apr/16/2025,Pittsburgh Township,35.10' x 104.99',"3,685 SqFt",SqFt,2013,Detached,Asphalt Shingle,10,2 Storey,Wood Frame,60,Vinyl,Full/Finished,"Vinyl siding, Stone Veneer",887,Poured Concrete,"Hardwood, ceramic, carpet, laminate","Copper, PEX, ABS",Forced Air,Natural Gas,Tankless/Instant,Central Air,6.0,3,6.0,858,630.0,,1488 SqFt,12,3:1,Average,4765899,2025-04-16,3685.0,1488.0,6.0,3.0,3.5,Detached,2 Storey
190 RIDEAU ST Kingston ON K7K3A3,Kingston ON K7K3A3,Apr/24/2025,Kingston,52' x 132',"6,864 SqFt",SqFt,1900,Triplex,Asphalt Shingle,30,2 Storey,Wood Frame,60,Vinyl,Cellar,Brick Veneer,960,Stone,"Hardwood, ceramic, laminate, carpet","Copper, PEX, ABS",Radiant,Natural Gas,Natural Gas,,12.0,3,12.0,1171,960.0,,2131 SqFt,125,3:1,Average,4765948,2025-04-24,6864.0,2131.0,12.0,3.0,3.5,Triplex,2 Storey
194 Calvington Ave Ottawa ON K2T0H9,Ottawa ON K2T0H9,Apr/23/2025,"Kanata Lakes, City of Ottawa",29.46 F x 98.42 F,2899 SqFt,SqFt,2016 +/-,Townhouse,Asphalt/Fiberglass Shingle,5,2 Storey,Wood,65,Vinyl,Full/Finished,Brick Veneer/Vinyl Siding,650 +/-,Poured concrete,Hardwood,"Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,6.0,3,6.0,,,,1504 SqFt,2016 +/-,2:1,Good,4768126,2025-04-23,2899.0,1504.0,6.0,3.0,2.5,Townhouse,2 Storey
710 Montrichard Rd Orléans ON K4A5R3,Ottawa ON K4A5R3,Apr/24/2025,"Notting Gate, City of Ottawa",33.27x Irr,2780 SqFt,SqFt,2025,Townhouse,Asphalt Shingle,new,2 Storey,Wood,70,Vinyl,Full/Finished,"Brick, Siding",700,Poured Concrete,Ceramic,"Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,7.0,4,7.0,,,,1643 SqFt,2025,2:1,Good,4768528,2025-04-24,2780.0,1643.0,7.0,4.0,2.5,Townhouse,2 Storey
5551 Sentinal Sq Halifax NS B3K4A8,Halifax NS B3K4A8,Apr/29/2025,Halifax,Condominium Property,,SqFt,1974,Condominium,"Membrane, Asphalt Shingle",15,2 Storey,Concrete Foundation & Floors,55,Vinyl,Full/Part Finished,Brick,382,Concrete,Laminate,"Copper, PEX, ABS",Electric Baseboard,Electric,Electric,,6.0,3,6.0,580,656.0,,1236 SqFt,51,2,Average,4769110,2025-04-29,,1236.0,6.0,3.0,2.0,Condominium,2 Storey
84339 Kent Line Brussels ON N0G1H0,Brussels ON N0G1H0,Apr/23/2025,"Township of Huron East, Region of Huron Perth",101.39' x 527',1.22  Acres,Acres,2022,Detached,Asphalt/Fiberglass Shingle,3,Bungalow,Wood,77,PVC,Full/Finished,Vinyl,1700,Concrete,Carpet,"Copper, PEX, ABS",Forced Air,Propane,Electric,Central Air,6.0,2,6.0,1700,,,1700 SqFt,2022,2:0,Average,4769269,2025-04-23,53143.2,1700.0,6.0,2.0,2.0,Detached,Bungalow
224 Blackhorse Dr Kemptville ON K0G 1J0,Kemptville ON K0G 1J0,Apr/30/2025,"Kemptville, ON",72.7 x Irregular,7059 SqFt,SqFt,2021 +/-,Detached,Asphalt/Fiberglass Shingle,4,Bungalow,Wood,66,OtherInput,Full/Finished,"stone, stucco, siding",1992,Poured Concrete,"hardwood, ceramic",OtherInput,Forced Air,forced air gas,Natural Gas,Central Air,7.0,3,8.0,1992,,,1992 SqFt,2021 +/-,3:0,Good,4770115,2025-04-30,7059.0,1992.0,8.0,3.0,3.0,Detached,Bungalow
174 South St Gananoque ON K7G1A2,Gananoque ON K7G1A2,Apr/30/2025,Gananoque,54' x 120',6480 SqFt,SqFt,1900,Detached,Asphalt Shingle,20,2 Storey,Wood Frame,60,Vinyl,Cellar,Vinyl Siding,952,Stone,"Hardwood, ceramic","Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,8.0,3,8.0,1290,952.0,,2242 SqFt,125,2:1,Average,4770310,2025-04-30,6480.0,2242.0,8.0,3.0,2.5,Detached,2 Storey
401 540 Talbot Pl Gananoque ON K7G3C6,Gananoque ON K7G3C6,Apr/25/2025,Gananoque,N/A Condominium,N/A Condominium,SqFt,1990,Condominium,Asphalt Shingle,15,1 Storey,Wood,60,Vinyl,Condo Common,Brick,0,Poured Concrete,Laminate,"Copper, PEX, ABS",Electric Baseboard,Electric,Electric,,5.0,2,5.0,758,,,758 SqFt,35,1:0,Average,4771097,2025-04-25,,758.0,5.0,2.0,1.0,Condominium,1 Storey
120 CASTLEGROVE RD NE Calgary AB T3J1T5,Calgary AB T3J1T5,Apr/28/2025,"Calgary, AB / Castleridge",13.72m x 29.87m,416 SqM,SqM,2015,Detached,Asphalt Shingle,10,2 Storey,Wood,55,Vinyl,Full/Finished,Stucco,1000,Poured Concrete,Carpet,"Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,,9.0,5,9.0,,,,2231.68 SqFt,2015,3F,Good,4771029,2025-04-28,4477.824,2231.68,9.0,5.0,3.0,Detached,2 Storey
53 Lucas Place NW Calgary AB T3P2E2,Calgary AB T3P2E2,Apr/28/2025,"Calgary, AB / Livingston",7.72m x 33.0m,255 SqM,SqM,2024,Detached,Asphalt Shingle,1,3 Storey,Wood,64,Vinyl,Full/Unfinished,"Siding, Stone",850,Poured Concrete,Vinyl,"Copper, PEX, ABS",Forced Air,Natural Gas,Tankless/Instant,,8.0,4,8.0,,,,2115 SqFt,2024,3F 1H,Good,4771641,2025-04-28,2744.8199999999997,2115.0,8.0,4.0,3.5,Detached,3 Storey
323 TARACOVE ESTATE DR NE Calgary AB T3J5A1,Calgary AB T3J5A1,Apr/30/2025,"Calgary, AB / Taradale",10.36m x 31.99m,332 SqM,SqM,2004,Detached,Asphalt,15,Bi-Level,Wood,50,PVC,Full/Finished,Vinyl,1000,Concrete,Vinyl,"Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,,6.0,3,6.0,1149,,,1149 SqFt,2004,2F,Good,4772017,2025-04-30,3573.6479999999997,1149.0,6.0,3.0,2.0,Detached,Bi-Level
9449 Hidden Valley Dr NW Calgary AB T3A5T1,Calgary AB T3A5T1,Apr/25/2025,"Calgary, AB / Hidden Valley",11.71 m x 32.56 m,381 SqM,SqM,1998,Detached,Asphalt Shingle,15,2 Storey,Wood,50,Vinyl,"Full, Walkout",Siding,543,Poured Concrete,"carpet, linoleum, hardwood, laminate, ceramic,","Copper, PEX, ABS",Forced Air,Natural Gas,50 US Gallons,Central Air,8.0,3,8.0,579,793.0,,1372 SqFt,1998,1:1,Good,4772152,2025-04-25,4101.084,1372.0,8.0,3.0,1.5,Detached,2 Storey
84 Carleton Pl Brampton ON L6T3Z4,Brampton ON L6T3Z4,Apr/30/2025,"Region of Peel, City of Brampton",Condominium property-as per deed,n/a-condo land,SqFt,1975,Townhouse,Asphalt/Fiberglass Shingle,20,2 Storey,Wood,40,PVC,Full/Finished,Brick Veneer/Vinyl Siding,567,Concrete,Hardwood,Copper,Forced Air,Natural Gas,Natural Gas,Central Air,6.0,3,6.0,567,611.0,,1178 SqFt,50,1:1,Average,4775892,2025-04-30,,1178.0,6.0,3.0,1.5,Townhouse,2 Storey
299 Everoak Dr SW Calgary AB T2Y0A5,Calgary AB T2Y0A5,Apr/30/2025,"Calgary, AB / Evergreen",9.7 m x 35.5 m,344 SqM,SqM,2007,Detached,Asphalt Shingle,10,2 Storey,Wood,55,Vinyl,Full/Finished,"Stone, Stucco",1269,Poured Concrete,"carpet, ceramic, hardwood,","Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,9.0,3,9.0,1269,934.0,,2203 SqFt,2007,2:1,Excellent,4776066,2025-04-30,3702.816,2203.0,9.0,3.0,2.5,Detached,2 Storey
52 Pyle Rd Lowbanks ON N0A1K0,Lowbanks ON N0A1K0,May/02/2025,"Community of Lowbanks, Regional Municipality of Haldimand",176.54 F x Irregular,0.5ac,SqFt,1950,Detached,Asphalt shingles,25,1 Storey,Wood frame,45,Vinyl,"Part basement, Crawlspace",Vinyl siding,750,Concrete,"Laminate, Linoleum",Copper/Abs,Forced Air,Natural Gas,Natural Gas,Central Air,6.0,2,6.0,1675,,,1675 SqFt,1950,1:1,Average,4773295,2025-05-02,21780.0,1675.0,6.0,2.0,1.5,Detached,1 Storey
12 Mcdougall St NW Langdon AB T0J1X2,Langdon AB T0J1X2,Apr/30/2025,"Langdon, AB",18.70m x 50.0m,931 SqM,SqM,2003,Detached,Asphalt Shingle,15,2 Storey,Wood,50,Vinyl,Full/Finished,"Stone, Siding",800,Poured Concrete,Vinyl,"Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,7.0,3,7.0,,,,1952 SqFt,2003,2F 1H,Good,4775247,2025-04-30,10021.284,1952.0,7.0,3.0,2.5,Detached,2 Storey
44041 Hendershot Rd Lowbanks ON N0A1K0,Lowbanks ON N0A1K0,May/02/2025,"Community of Lowbanks, Regional Municipality of Haldimand County",5 Acres,5 Acres,Acres,1988,Detached,Rubber shingle,25,Split Level,Wood frame,45,Vinyl,Part/Full Finished,"Brick, Vinyl siding",1695,Poured concrete,"Vinyl plank, Hardwood, Ceramic tile, Carpet","Copper, PEX, ABS","Forced air, Radiant in-floor heating",Natural Gas,Natural Gas,Central Air,8.0,4,8.0,479,2294.0,,2773 SqFt,1988,2:1,Average,4773534,2025-05-02,217800.0,2773.0,8.0,4.0,2.5,Detached,Split Level
4315 CONCESSION RD 4 N/A S Amherstburg ON N9V2Y8,Amherstburg ON N9V2Y8,Apr/30/2025,10 - 15 (Amherstburg - Malden Centre),138 x 167,23046 SqFt,SqFt,1885,Detached,Asphalt/Fiberglass Shingle,40,2 Storey,Wood,60,PVC,Full/Unfinished,Stone,1152,Concrete,Ceramic,Copper,Forced Air,Natural Gas,Hot Water Tank,Central Air,9.0,4,10.0,1152,1152.0,,2304 SqFt,140,2:0,Fair,4773833,2025-04-30,23046.0,2304.0,10.0,4.0,2.0,Detached,2 Storey
576 Chesham Pl Kingston ON K7M5T5,Kingston ON K7M5T5,May/01/2025,Kingston,60.51' x 142.74' - Irregular,"10,014 SqFt",SqFt,1972,Detached,Asphalt Shingle,15,1 Storey,Wood Frame,60,Vinyl,Full/Finished,"Brick Veneer, Vinyl Siding",1050,Poured Concrete,"Hardwood, laminate, ceramic, carpet","Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,5.0,2+2,5.0,1050,,,1050 SqFt,53,2:0,Average,4776648,2025-05-01,10014.0,1050.0,5.0,4.0,2.0,Detached,1 Storey
260 Boulder Creek Cres Langdon AB T0J 1X3,Langdon AB T0J 1X3,May/01/2025,"Langdon, AB / Boulder Creek",21.90 m x 40.08 m,878 SqM,SqM,2015,Detached,Asphalt/Fiberglass Shingle,5,2 Storey,Concrete,60,Vinyl,Full Finished/Walkout,Vinyl siding and stone,620,Concrete,Hardwood,Mixed,Forced Air,Natural Gas,Natural Gas,Central Air,9.0,3,9.0,953,1108.0,,2061 SqFt,10,3:1,Good,4777578,2025-05-01,9450.792,2061.0,9.0,3.0,3.5,Detached,2 Storey
29 Timberline Crt SW Calgary AB T3H6C8,Calgary AB T3H6C8,May/02/2025,"Calgary, AB / Springbank Hill",10.36m x 30.08m,699 SqM,SqM,2022,Detached,Asphalt,New,2 Storey,Wood,65,Vinyl,Full Finished/Walkout,Brick / Composite,1500,Concrete,Hardwood,"Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,8.0,3,8.0,,,,3543.10 SqFt,2022,3F 1H,Good,4776534,2025-05-02,7524.035999999999,3543.1,8.0,3.0,3.5,Detached,2 Storey
58 Copperleaf Terr SE Calgary AB T2Z0H9,Calgary AB T2Z0H9,May/02/2025,City of Calgary/Copperfield,15.03 m x 35.00 m,4768 SqFt,SqFt,2008,Detached,Asphalt Shingle,10,2 Storey,Wood,55,Vinyl,Full/Finished,Vinyl Siding,950+/-,Concrete,"Carpet, tile and hardwood","Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,,7.0,3,7.0,1060,1292.0,,2352 SqFt,17,3:1,Good,4776574,2025-05-02,4768.0,2352.0,7.0,3.0,3.5,Detached,2 Storey
32 Hilborn St Grand Valley ON L9W6V1,Grand Valley ON L9W6V1,May/01/2025,,45.28 X 108.60,4919 sqft,,,,,,2 Storey,,,,Full/Unfinished,,,,,,,,,,,,,,,,2385 SqFt,4,,Good,4777828,2025-05-01,4919.0,2385.0,,,,,2 Storey
1633 27 AVE SW Calgary AB T2T1G7,Calgary AB T2T1G7,May/06/2025,"Calgary, AB  South Calgary",15.23m x 38.07m,580 SqM,SqM,1971,Fourplex,Asphalt/Fiberglass Shingle,30,Bi-Level,Wood,35,Vinyl,Full/Finished,Brick / Stucco,186,Concrete,Vinyl plank,Mixed,Forced Air for each unit,Natural Gas,Water heater for each unit,,12.0,8,12.0,,,,186 SqM,1981,4F,Average,4778535,2025-05-06,6243.12,2002.1039999999998,12.0,8.0,4.0,Fourplex,Bi-Level
3666 Douglas Woods Hts SE Calgary AB T2Z2G4,Calgary AB T2Z2G4,May/06/2025,City of Calgary/Douglasdale/Glen,44.0Ft x 131.0Ft,5791 SqFt,SqFt,1992,Detached,Asphalt Shingle,10,Bungalow,Wood,55,Vinyl,Full/Finished,Vinyl Siding,857,Concrete,"Hardwood, tile, carpet, linoleum",Mixed,Forced Air,Natural Gas,Natural Gas,Central Air,5.0,2,5.0,1290,,,1290 SqFt,33,3:0,Good,4778557,2025-05-06,5791.0,1290.0,5.0,2.0,3.0,Detached,Bungalow
81 Eastforest Trail Kitchener ON N2N3M3,Kitchener ON N2N3M3,May/06/2025,"City of Kitchener, Region of Waterloo",31.53' x 115',3625 SqFt,SqFt,1999,Detached,Asphalt/Fiberglass Shingle,8,2 Storey,Wood,72,PVC,Full/Finished,Brick Veneer/Vinyl Siding,621,Concrete,Laminate,"Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,6.0,3,6.0,621,830.0,,1451 SqFt,26,1:1,Average,4779669,2025-05-06,3625.0,1451.0,6.0,3.0,1.5,Detached,2 Storey
603 223 PRINCESS ST Kingston ON K7L0G8,Kingston ON K7L0G8,May/05/2025,City of Greater Kingston,Condo Common Property,,SqFt,New,Condominium,Tar and Gravel,1,1 Storey,Concrete,70+,Vinyl,,Stone/Brick Veneer,0,Concrete,"Laminate, ceramic","Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,5.0,2,5.0,678,,,678 SqFt,New,2:0,Good,4778791,2025-05-05,,678.0,5.0,2.0,2.0,Condominium,1 Storey
501 223 PRINCESS ST Kingston ON K7L0G8,Kingston ON K7L0G8,May/05/2025,City of Kingston,Condo Common Property,na,SqFt,New,Condominium,Tar and Gravel,1,1 Storey,Concrete,70,Vinyl,,Stone/Brick Veneer,0,Concrete,"Laminate, ceramic","Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,5.0,2,5.0,665,,,665 sf,New,2:0,Good,4778794,2025-05-05,,665.0,5.0,2.0,2.0,Condominium,1 Storey
718 223 PRINCESS ST Kingston ON K7L0G8,Kingston ON K7L0G8,May/05/2025,City of Greater Kingston,Condo Common Property,,SqFt,New,Condominium,Tar and Gravel,1,1 Storey,Concrete,70+,Vinyl,,Stone/Brick Veneer,0,Concrete,"Laminate, ceramic","Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,5.0,1,5.0,584,,,584 sf,New,1:0,Good,4778797,2025-05-05,,584.0,5.0,1.0,1.0,Condominium,1 Storey
184 Sandpiper Cir NW Calgary AB T3K3P4,Calgary AB T3K3P4,May/05/2025,"Calgary, AB / Sandstone Valley",10.05m x 45.23m,759 SqM,SqM,1988,Detached,Asphalt/Fiberglass Shingle,15,4 Level Split,Wood,50,PVC,Full/Finished,Stucco,1000,Concrete,Vinyl,"Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,,7.0,3,7.0,1045.37,701.43,,1746.79 SqFt,1988,2F 1H,Good,4778326,2025-05-05,8169.875999999999,1746.79,7.0,3.0,2.5,Detached,Split Level
160 Marquis Pl SE Airdrie AB T4A1Y7,Airdrie AB T4A1Y7,Apr/09/2025,"Airdrie, AB / Meadowbrook",14.32m x 37.80m,541 SqM,SqM,1979,Detached,Asphalt,25,4 Level Split,Wood,35,Vinyl,Part Finished/Walkout,Vinyl,1000,Concrete,Linoleum,"Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,,6.0,3,6.0,,,,1144 SqFt,1979,1F 1H,Average,4758996,2025-04-09,5823.324,1144.0,6.0,3.0,1.5,Detached,Split Level
1841 Fisk Rd Odessa ON K0H2H0,Odessa ON K0H2H0,Apr/30/2025,"Loyalist Township, County of Lennox and Addington",830' x Irregular,10 Acres,Acres,1900,Detached,Metal,20,2 Storey,Wood Frame,50,Vinyl,Cellar,Vinyl Siding,800,Stone/Concrete Block,"Hardwood, vinyl, ceramic, laminate","Copper, PEX, ABS",Forced Air,Oil,Electric,Central Air,10.0,5,10.0,1517,621.0,,"2,138 SqFt",125,2:0,Average,4775785,2025-04-30,435600.0,2138.0,10.0,5.0,2.0,Detached,2 Storey
64232 COUNTY RD 3 East Garafraxa ON L9W7J4,East Garafraxa ON L9W7J4,May/02/2025,"Township of East Garafraxa, County of Dufferin",223.32' x 1966.85',10 Acres,Acres,1977,Detached,Asphalt Shingle,15,Bungalow,Wood,65,Vinyl,Full/Unfinished,Brick,1850,Concrete,"hardwood, ceramic, vinyl,","Copper, PEX, ABS","heat pump, electric, baseboard",Electric,Propane,Heat Pump,10.0,5,10.0,2250,,,2250 SqFt,48,3:0,Average,4775292,2025-05-02,435600.0,2250.0,10.0,5.0,3.0,Detached,Bungalow
1050 John F. Scott Rd Kingston ON K7L4V3,Kingston ON K7L4V3,Feb/13/2025,Kingston,1531.45' x Irregular,14 Acres,Acres,1920,Detached,Metal,40,2 Storey,Wood Frame,40,Vinyl,Cellar,Stucco,627,Stone,"Hardwood, laminate","Copper, PEX, ABS",Forced Air,Propane,Electric,Central Air,7.0,3,7.0,627,627.0,,1254 SqFt,105,1:1,Average,4723364,2025-02-13,609840.0,1254.0,7.0,3.0,1.5,Detached,2 Storey
