orderID,subj_gla,gla_clean_x,gla_diff,subj_lot_size,lot_size_clean_x,lot_size_diff,subj_bedrooms,bedrooms_clean_x,bedroom_diff,subj_bathrooms,bathrooms_clean_x,bathroom_diff,subj_room_count,room_count_clean_x,room_count_diff,subj_property_type,property_type_clean_x,same_property_type,subj_stories,stories_clean_x,same_storey_type,sale_date_clean,sold_recently_90,sold_recently_180,label,close_date_clean_subject,score,id,address_subject,subject_city_province_zip,effective_date,lot_size_sf_subject,year_built_subject,structure_type_subject,style_subject,gla_subject,room_count_subject,num_beds,num_baths,room_total,main_lvl_area,property_type_clean_y,stories_clean_y,lot_size_clean_y,gla_clean_y,room_count_clean_y,bedrooms_clean_y,bathrooms_clean_y,effective_date_clean,address_candidate,city,province,postal_code,gla_candidate,room_count_candidate,bedrooms,bathrooms_clean,year_built_candidate,structure_type_candidate,style_candidate,property_type_clean,stories_clean,lot_size_sf_candidate,close_date_clean_candidate,gla_clean,room_count_clean,bedrooms_clean,lot_size_clean
4765899,1488.0,1439.0,49.0,3685.0,3434.0,251.0,3.0,3.0,0.0,3.5,3.0,0.5,6.0,8.0,2.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,,1,1,0,2025-02-07,1.3900007,77703.0,1753 Reginald Bart Dr Kingston ON K7K0E9,Kingston ON K7K0E9,Apr/16/2025,"3,685 SqFt",2013,Detached,2 Storey,1488 SqFt,6.0,3,3:1,6.0,858,Detached,2 Storey,3685.0,1488.0,6.0,3.0,3.5,2025-04-16,8 RICHDALE Crt ,Kingston ,Ontario,K7K 6N1,1439.0,8.0,3.0,3.0,40.0,Detached,2-Storey ,Detached,2 Storey,3434.0,2025-02-07,1439.0,8.0,3.0,3434.0
4765899,1488.0,1586.0,98.0,3685.0,3240.0,445.0,3.0,3.0,0.0,3.5,3.0,0.5,6.0,10.0,4.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,,1,1,0,2025-02-02,0.0066736396,4181.0,1753 Reginald Bart Dr Kingston ON K7K0E9,Kingston ON K7K0E9,Apr/16/2025,"3,685 SqFt",2013,Detached,2 Storey,1488 SqFt,6.0,3,3:1,6.0,858,Detached,2 Storey,3685.0,1488.0,6.0,3.0,3.5,2025-04-16,433 Maureen St,Kingston,Ontario,K7K 7M2,1586.0,10.0,3.0,3.0,,Detached,2-Storey,Detached,2 Storey,3240.0,2025-02-02,1586.0,10.0,3.0,3240.0
4765899,1488.0,1629.0,141.0,3685.0,4291.0,606.0,3.0,4.0,1.0,3.5,3.5,0.0,6.0,15.0,9.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-03-31,1,1,1,,-0.45769215,,1753 Reginald Bart Dr Kingston ON K7K0E9,Kingston ON K7K0E9,Apr/16/2025,"3,685 SqFt",2013,Detached,2 Storey,1488 SqFt,6.0,3,3:1,6.0,858,Detached,2 Storey,3685.0,1488.0,6.0,3.0,3.5,2025-04-16,,,,,,,,,,,,,,,,,,,
4772017,1149.0,1189.04,40.03999999999997,3573.6479999999997,3326.076,247.5719999999997,3.0,3.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0,Detached,Detached,1.0,Bi-Level,Bi-Level,1.0,2025-04-25,1,1,1,,3.0626671,,323 TARACOVE ESTATE DR NE Calgary AB T3J5A1,Calgary AB T3J5A1,Apr/30/2025,332 SqM,2004,Detached,Bi-Level,1149 SqFt,6.0,3,2F,6.0,1149,Detached,Bi-Level,3573.6479999999997,1149.0,6.0,3.0,2.0,2025-04-30,,,,,,,,,,,,,,,,,,,
4772017,1149.0,1259.0,110.0,3573.6479999999997,4477.824,904.176,3.0,3.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0,Detached,Detached,1.0,Bi-Level,Split Level,0.0,2025-03-25,1,1,1,,1.3656793,,323 TARACOVE ESTATE DR NE Calgary AB T3J5A1,Calgary AB T3J5A1,Apr/30/2025,332 SqM,2004,Detached,Bi-Level,1149 SqFt,6.0,3,2F,6.0,1149,Detached,Bi-Level,3573.6479999999997,1149.0,6.0,3.0,2.0,2025-04-30,,,,,,,,,,,,,,,,,,,
4772017,1149.0,1120.0,29.0,3573.6479999999997,5317.415999999999,1743.7679999999996,3.0,1.0,2.0,2.0,1.5,0.5,6.0,5.0,1.0,Detached,Detached,1.0,Bi-Level,Bi-Level,1.0,2025-02-18,1,1,1,,1.0951816,,323 TARACOVE ESTATE DR NE Calgary AB T3J5A1,Calgary AB T3J5A1,Apr/30/2025,332 SqM,2004,Detached,Bi-Level,1149 SqFt,6.0,3,2F,6.0,1149,Detached,Bi-Level,3573.6479999999997,1149.0,6.0,3.0,2.0,2025-04-30,,,,,,,,,,,,,,,,,,,
4772152,1372.0,1030.0,342.0,4101.084,3659.0,442.08399999999983,3.0,,0.0,1.5,1.5,0.0,8.0,9.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,,1,1,0,2025-03-13,2.2980142,98624.0,9449 Hidden Valley Dr NW Calgary AB T3A5T1,Calgary AB T3A5T1,Apr/25/2025,381 SqM,1998,Detached,2 Storey,1372 SqFt,8.0,3,1:1,8.0,579,Detached,2 Storey,4101.084,1372.0,8.0,3.0,1.5,2025-04-25,41 Hidden Hills Way NW ,Calgary ,Alberta,T3A 5T1,1030.0,9.0,,1.5,1997.0,Detached,2 Storey ,Detached,2 Storey,3659.0,2025-03-13,1030.0,9.0,,3659.0
4772152,1372.0,1822.0,450.0,4101.084,5597.0,1495.9160000000002,3.0,3.0,0.0,1.5,2.5,1.0,8.0,9.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,,1,1,0,2025-05-01,0.64209294,282839.0,9449 Hidden Valley Dr NW Calgary AB T3A5T1,Calgary AB T3A5T1,Apr/25/2025,381 SqM,1998,Detached,2 Storey,1372 SqFt,8.0,3,1:1,8.0,579,Detached,2 Storey,4101.084,1372.0,8.0,3.0,1.5,2025-04-25,13 Hidden Ranch Boulevard NW ,Calgary ,Alberta,T3A 5N6,1822.0,9.0,3.0,2.5,1995.0,Detached,2 Storey ,Detached,2 Storey,5597.0,2025-05-01,1822.0,9.0,3.0,5597.0
4772152,1372.0,1548.0,176.0,4101.084,11.64,4089.444,3.0,3.0,0.0,1.5,2.5,1.0,8.0,7.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-02-03,1,1,1,,0.41385996,,9449 Hidden Valley Dr NW Calgary AB T3A5T1,Calgary AB T3A5T1,Apr/25/2025,381 SqM,1998,Detached,2 Storey,1372 SqFt,8.0,3,1:1,8.0,579,Detached,2 Storey,4101.084,1372.0,8.0,3.0,1.5,2025-04-25,,,,,,,,,,,,,,,,,,,
4773295,1675.0,1700.0,25.0,21780.0,34600.0,12820.0,2.0,3.0,1.0,1.5,2.0,0.5,6.0,7.0,1.0,Detached,Detached,1.0,1 Storey,1 Storey,1.0,2025-05-02,1,1,1,,1.9037669,,52 Pyle Rd Lowbanks ON N0A1K0,Lowbanks ON N0A1K0,May/02/2025,0.5ac,1950,Detached,1 Storey,1675 SqFt,6.0,2,1:1,6.0,1675,Detached,1 Storey,21780.0,1675.0,6.0,2.0,1.5,2025-05-02,,,,,,,,,,,,,,,,,,,
4773295,1675.0,1560.0,115.0,21780.0,107120.0,85340.0,2.0,3.0,1.0,1.5,1.0,0.5,6.0,7.0,1.0,Detached,Detached,1.0,1 Storey,1 Storey,1.0,2024-12-11,0,1,1,,1.2056272,,52 Pyle Rd Lowbanks ON N0A1K0,Lowbanks ON N0A1K0,May/02/2025,0.5ac,1950,Detached,1 Storey,1675 SqFt,6.0,2,1:1,6.0,1675,Detached,1 Storey,21780.0,1675.0,6.0,2.0,1.5,2025-05-02,,,,,,,,,,,,,,,,,,,
4773295,1675.0,900.0,775.0,21780.0,13821.0,7959.0,2.0,2.0,0.0,1.5,1.0,0.5,6.0,6.0,0.0,Detached,Detached,1.0,1 Storey,Bungalow,0.0,,0,1,0,2025-01-10,0.44109163,138873.0,52 Pyle Rd Lowbanks ON N0A1K0,Lowbanks ON N0A1K0,May/02/2025,0.5ac,1950,Detached,1 Storey,1675 SqFt,6.0,2,1:1,6.0,1675,Detached,1 Storey,21780.0,1675.0,6.0,2.0,1.5,2025-05-02,15 Mohawk Point Road ,Dunnville ,Ontario,N0A 1K0,900.0,6.0,2.0,1.0,,"Detached, Single Family Residence, Bungalow ",Bungalow ,Detached,Bungalow,13821.0,2025-01-10,900.0,6.0,2.0,13821.0
4775785,2138.0,1844.0,294.0,435600.0,54450000.0,54014400.0,5.0,4.0,1.0,2.0,2.0,0.0,10.0,10.0,0.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-01-03,0,1,1,,0.66318953,,1841 Fisk Rd Odessa ON K0H2H0,Odessa ON K0H2H0,Apr/30/2025,10 Acres,1900,Detached,2 Storey,"2,138 SqFt",10.0,5,2:0,10.0,1517,Detached,2 Storey,435600.0,2138.0,10.0,5.0,2.0,2025-04-30,,,,,,,,,,,,,,,,,,,
4775785,2138.0,1300.0,838.0,435600.0,5330.0,430270.0,5.0,1.0,4.0,2.0,1.0,1.0,10.0,10.0,0.0,Detached,Detached,1.0,2 Storey,1.5 Storey,0.0,,1,1,0,2025-02-11,-0.6104196,77562.0,1841 Fisk Rd Odessa ON K0H2H0,Odessa ON K0H2H0,Apr/30/2025,10 Acres,1900,Detached,2 Storey,"2,138 SqFt",10.0,5,2:0,10.0,1517,Detached,2 Storey,435600.0,2138.0,10.0,5.0,2.0,2025-04-30,35 BATTERY St ,Loyalist ,Ontario,K0H 2H0,1300.0,10.0,1.0,1.0,,Detached,1 1/2 Storey ,Detached,1.5 Storey,5330.0,2025-02-11,1300.0,10.0,1.0,5330.0
4775785,2138.0,2523.0,385.0,435600.0,260000.0,175600.0,5.0,3.0,2.0,2.0,1.5,0.5,10.0,11.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-04-04,1,1,1,,-0.80730796,,1841 Fisk Rd Odessa ON K0H2H0,Odessa ON K0H2H0,Apr/30/2025,10 Acres,1900,Detached,2 Storey,"2,138 SqFt",10.0,5,2:0,10.0,1517,Detached,2 Storey,435600.0,2138.0,10.0,5.0,2.0,2025-04-30,,,,,,,,,,,,,,,,,,,
4776066,2203.0,2431.0,228.0,3702.816,4789.98,1087.1639999999998,3.0,3.0,0.0,2.5,2.5,0.0,9.0,8.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-02-08,1,1,1,,2.9975429,,299 Everoak Dr SW Calgary AB T2Y0A5,Calgary AB T2Y0A5,Apr/30/2025,344 SqM,2007,Detached,2 Storey,2203 SqFt,9.0,3,2:1,9.0,1269,Detached,2 Storey,3702.816,2203.0,9.0,3.0,2.5,2025-04-30,,,,,,,,,,,,,,,,,,,
4776066,2203.0,2274.0,71.0,3702.816,4154.9039999999995,452.08799999999974,3.0,3.0,0.0,2.5,2.5,0.0,9.0,8.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-02-14,1,1,1,,2.9040408,,299 Everoak Dr SW Calgary AB T2Y0A5,Calgary AB T2Y0A5,Apr/30/2025,344 SqM,2007,Detached,2 Storey,2203 SqFt,9.0,3,2:1,9.0,1269,Detached,2 Storey,3702.816,2203.0,9.0,3.0,2.5,2025-04-30,,,,,,,,,,,,,,,,,,,
4776066,2203.0,2505.0,302.0,3702.816,4693.0,990.1840000000002,3.0,4.0,1.0,2.5,2.5,0.0,9.0,9.0,0.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,,1,1,0,2025-02-07,2.4077811,10129.0,299 Everoak Dr SW Calgary AB T2Y0A5,Calgary AB T2Y0A5,Apr/30/2025,344 SqM,2007,Detached,2 Storey,2203 SqFt,9.0,3,2:1,9.0,1269,Detached,2 Storey,3702.816,2203.0,9.0,3.0,2.5,2025-04-30,13 Everhollow Park SW ,Calgary ,Alberta,T2Y 4R3,2505.0,9.0,4.0,2.5,2005.0,Detached,2 Storey ,Detached,2 Storey,4693.0,2025-02-07,2505.0,9.0,4.0,4693.0
4777828,2385.0,2250.0,135.0,4919.0,4920.0,1.0,,3.0,0.0,,0.0,0.0,,9.0,0.0,,Detached,0.0,2 Storey,2 Storey,1.0,,0,1,0,2024-11-06,-0.7148761,178377.0,32 Hilborn St Grand Valley ON L9W6V1,Grand Valley ON L9W6V1,May/01/2025,4919 sqft,,,2 Storey,2385 SqFt,,,,,,,2 Storey,4919.0,2385.0,,,,2025-05-01,33 Stuckey Lane ,East Luther Grand Valley ,Ontario,L9W 6W5,2250.0,9.0,3.0,0.0,,"Detached, 2-Storey ",2-Storey ,Detached,2 Storey,4920.0,2024-11-06,2250.0,9.0,3.0,4920.0
4777828,2385.0,2250.0,135.0,4919.0,4920.0,1.0,,3.0,0.0,,0.0,0.0,,9.0,0.0,,Detached,0.0,2 Storey,2 Storey,1.0,,0,1,0,2024-11-06,-0.7148761,269142.0,32 Hilborn St Grand Valley ON L9W6V1,Grand Valley ON L9W6V1,May/01/2025,4919 sqft,,,2 Storey,2385 SqFt,,,,,,,2 Storey,4919.0,2385.0,,,,2025-05-01,322311 Concession 6-7 Road ,East Luther Grand Valley ,Ontario,,2250.0,9.0,3.0,0.0,,"Detached, Bungalow ",Bungalow ,Detached,Bungalow,,2025-04-11,2250.0,9.0,3.0,
4777828,2385.0,1832.0,553.0,4919.0,4560.0,359.0,,3.0,0.0,,0.0,0.0,,8.0,0.0,,Detached,0.0,2 Storey,2 Storey,1.0,,0,1,0,2024-12-27,-0.72996616,195915.0,32 Hilborn St Grand Valley ON L9W6V1,Grand Valley ON L9W6V1,May/01/2025,4919 sqft,,,2 Storey,2385 SqFt,,,,,,,2 Storey,4919.0,2385.0,,,,2025-05-01,80 Taylor Drive ,East Luther Grand Valley ,Ontario,L9W 6P4,1832.0,8.0,3.0,0.0,,"Detached, 2-Storey ",2-Storey ,Detached,2 Storey,4560.0,2024-12-27,1832.0,8.0,3.0,4560.0
4777828,2385.0,1750.0,635.0,4919.0,,0.0,,4.0,0.0,,0.0,0.0,,8.0,0.0,,Detached,0.0,2 Storey,2 Storey,1.0,,0,1,0,2025-01-29,-0.92173463,143514.0,32 Hilborn St Grand Valley ON L9W6V1,Grand Valley ON L9W6V1,May/01/2025,4919 sqft,,,2 Storey,2385 SqFt,,,,,,,2 Storey,4919.0,2385.0,,,,2025-05-01,70 Luther Road ,East Luther Grand Valley ,Ontario,L0N 1G0,1750.0,8.0,4.0,0.0,,"Detached, 2-Storey ",2-Storey ,Detached,2 Storey,7375.0,2024-12-06,1750.0,8.0,4.0,7375.0
4777828,2385.0,1750.0,635.0,4919.0,,0.0,,4.0,0.0,,0.0,0.0,,8.0,0.0,,Detached,0.0,2 Storey,2 Storey,1.0,,0,1,0,2025-01-29,-0.92173463,105937.0,32 Hilborn St Grand Valley ON L9W6V1,Grand Valley ON L9W6V1,May/01/2025,4919 sqft,,,2 Storey,2385 SqFt,,,,,,,2 Storey,4919.0,2385.0,,,,2025-05-01,28 Sparrow Crescent ,East Luther Grand Valley ,Ontario,L9W,1750.0,8.0,4.0,0.0,,"Detached, 2-Storey ",2-Storey ,Detached,2 Storey,,2025-01-29,1750.0,8.0,4.0,
4778791,678.0,818.0,140.0,,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,Condominium,Condominium,1.0,1 Storey,1 Storey,1.0,2024-11-23,0,1,1,,3.539457,,603 223 PRINCESS ST Kingston ON K7L0G8,Kingston ON K7L0G8,May/05/2025,,New,Condominium,1 Storey,678 SqFt,5.0,2,2:0,5.0,678,Condominium,1 Storey,,678.0,5.0,2.0,2.0,2025-05-05,,,,,,,,,,,,,,,,,,,
4778791,678.0,609.0,69.0,,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,5.0,8.0,3.0,Condominium,Condominium,1.0,1 Storey,1 Storey,1.0,2025-02-28,1,1,1,,1.1281488,,603 223 PRINCESS ST Kingston ON K7L0G8,Kingston ON K7L0G8,May/05/2025,,New,Condominium,1 Storey,678 SqFt,5.0,2,2:0,5.0,678,Condominium,1 Storey,,678.0,5.0,2.0,2.0,2025-05-05,,,,,,,,,,,,,,,,,,,
4778791,678.0,825.0,147.0,,,0.0,2.0,2.0,0.0,2.0,1.0,1.0,5.0,7.0,2.0,Condominium,Condominium,1.0,1 Storey,1 Storey,1.0,2025-03-05,1,1,1,,0.7512768,,603 223 PRINCESS ST Kingston ON K7L0G8,Kingston ON K7L0G8,May/05/2025,,New,Condominium,1 Storey,678 SqFt,5.0,2,2:0,5.0,678,Condominium,1 Storey,,678.0,5.0,2.0,2.0,2025-05-05,,,,,,,,,,,,,,,,,,,
4779669,1451.0,1453.0,2.0,3625.0,3653.0,28.0,3.0,3.0,0.0,1.5,1.5,0.0,6.0,6.0,0.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-01-02,0,1,1,,3.6329567,,81 Eastforest Trail Kitchener ON N2N3M3,Kitchener ON N2N3M3,May/06/2025,3625 SqFt,1999,Detached,2 Storey,1451 SqFt,6.0,3,1:1,6.0,621,Detached,2 Storey,3625.0,1451.0,6.0,3.0,1.5,2025-05-06,,,,,,,,,,,,,,,,,,,
4779669,1451.0,1625.0,174.0,3625.0,3150.0,475.0,3.0,3.0,0.0,1.5,2.5,1.0,6.0,6.0,0.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-02-21,1,1,1,,2.2016158,,81 Eastforest Trail Kitchener ON N2N3M3,Kitchener ON N2N3M3,May/06/2025,3625 SqFt,1999,Detached,2 Storey,1451 SqFt,6.0,3,1:1,6.0,621,Detached,2 Storey,3625.0,1451.0,6.0,3.0,1.5,2025-05-06,,,,,,,,,,,,,,,,,,,
4779669,1451.0,1617.0,166.0,3625.0,3054.0,571.0,3.0,4.0,1.0,1.5,2.5,1.0,6.0,8.0,2.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-04-11,1,1,1,,0.7030786,,81 Eastforest Trail Kitchener ON N2N3M3,Kitchener ON N2N3M3,May/06/2025,3625 SqFt,1999,Detached,2 Storey,1451 SqFt,6.0,3,1:1,6.0,621,Detached,2 Storey,3625.0,1451.0,6.0,3.0,1.5,2025-05-06,,,,,,,,,,,,,,,,,,,
